  1.000181, 0.000603,0
  0.998669, 0.001168,0
  0.994140, 0.002836,0
  0.986613, 0.005534,0
  0.976119, 0.009137,0
  0.962704, 0.013479,0
  0.946426, 0.018351,0
  0.927358, 0.023510,0
  0.905586, 0.028682,0
  0.881213, 0.033572,0
  0.854358, 0.037870,0
  0.825159, 0.041259,0
  0.793885, 0.043451,0
  0.761194, 0.045141,0
  0.726879, 0.046731,0
  0.691151, 0.048184,0
  0.654229, 0.049465,0
  0.616343, 0.050541,0
  0.577725, 0.051381,0
  0.538615, 0.051956,0
  0.499256, 0.052241,0
  0.459892, 0.052212,0
  0.420770, 0.051851,0
  0.382133, 0.051142,0
  0.344223, 0.050077,0
  0.307278, 0.048652,0
  0.271528, 0.046869,0
  0.237198, 0.044739,0
  0.204503, 0.042279,0
  0.173647, 0.039513,0
  0.144823, 0.036470,0
  0.118211, 0.033188,0
  0.093974, 0.029709,0
  0.072263, 0.026076,0
  0.053212, 0.022336,0
  0.036935, 0.018536,0
  0.023533, 0.014720,0
  0.013085, 0.010927,0
  0.005655, 0.007193,0
  0.001285, 0.003544,0
  0.000000, 0.000000,0
  0.001798,-0.003313,0
  0.006657,-0.006273,0
  0.014545,-0.008873,0
  0.025411,-0.011105,0
  0.039185,-0.012963,0
  0.055782,-0.014440,0
  0.075097,-0.015533,0
  0.097009,-0.016240,0
  0.121383,-0.016564,0
  0.148070,-0.016514,0
  0.176905,-0.016101,0
  0.207712,-0.015346,0
  0.240303,-0.014271,0
  0.274481,-0.012906,0
  0.310039,-0.011285,0
  0.346760,-0.009444,0
  0.384421,-0.007423,0
  0.422795,-0.005261,0
  0.461648,-0.003001,0
  0.500744,-0.000678,0
  0.539844, 0.001669,0
  0.578710, 0.004008,0
  0.617103, 0.006310,0
  0.654788, 0.008551,0
  0.691533, 0.010709,0
  0.727111, 0.012769,0
  0.761305, 0.014718,0
  0.793900, 0.016546,0
  0.824289, 0.017824,0
  0.852748, 0.017828,0
  0.879193, 0.016779,0
  0.903431, 0.014935,0
  0.925282, 0.012555,0
  0.944580, 0.009892,0
  0.961175, 0.007184,0
  0.974937, 0.004648,0
  0.985757, 0.002469,0
  0.993548, 0.000800,0
  0.998248,-0.000247,0
  0.999819,-0.000603,0
